Script started on 2025-04-20 19:10:08+02:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="67" LINES="17"]
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ ps -ef
[?2004lUID          PID    PPID  C STIME TTY          TIME CMD
tan         2177    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2181    1973  0 16:15 ?        00:00:00 /usr/libexec/gn
tan         2225    1973 12 16:15 ?        00:21:27 /usr/bin/gnome-
tan         2228    2181  0 16:15 ?        00:00:00 /usr/libexec/at
tan         2239    2228  0 16:15 ?        00:00:00 /usr/bin/dbus-d
tan         2302    1973  0 16:15 ?        00:00:00 /usr/libexec/at
tan         2322    1973  0 16:15 ?        00:00:00 /usr/libexec/gn
tan         2329    1973  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2342    1973  0 16:15 ?        00:00:00 /usr/bin/gjs -m
tan         2362    1973  0 16:15 ?        00:00:17 /usr/bin/ibus-d
tan         2364    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2365    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2369    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2371    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2375    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2379    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2381    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2384    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2385    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2386    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2389    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2399    2181  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2400    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2446    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2452    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2472    2181  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2475    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2518    2362  0 16:15 ?        00:00:00 /usr/libexec/ib
tan         2519    2362  0 16:15 ?        00:00:05 /usr/libexec/ib
tan         2523    1973  0 16:15 ?        00:00:00 /usr/libexec/ib
tan         2545    1973  0 16:15 ?        00:00:00 /usr/libexec/go
tan         2561    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2574    1973  0 16:15 ?        00:00:00 /usr/libexec/go
tan         2583    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2587    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2599    1973  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2604    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2613    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2620    2225  0 16:15 ?        00:00:00 /usr/bin/Xwayla
tan         2625    1973  0 16:15 ?        00:00:00 /usr/libexec/ev
tan         2652    2362  0 16:15 ?        00:00:06 /usr/libexec/ib
tan         2673    1973  0 16:15 ?        00:00:00 /usr/libexec/dc
tan         2682    2169  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2706    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2756    1973  0 16:15 ?        00:00:01 /usr/libexec/tr
tan         2758    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2796    1973  0 16:15 ?        00:00:00 /usr/bin/gjs -m
tan         2815    1973  0 16:15 ?        00:00:00 /usr/libexec/gs
tan         2830    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
tan         2843    1973  0 16:15 ?        00:00:00 /usr/libexec/ib
tan         2851    1973  0 16:15 ?        00:00:00 /usr/bin/VBoxCl
tan         2853    2225  0 16:15 ?        00:00:00 /usr/libexec/mu
tan         2854    2851  0 16:15 ?        00:00:00 /usr/bin/VBoxCl
tan         2877    1973  0 16:15 ?        00:00:00 /usr/bin/VBoxCl
tan         2878    2877  0 16:15 ?        00:00:01 /usr/bin/VBoxCl
tan         2896    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2909    1973  0 16:15 ?        00:00:00 /snap/snapd-des
tan         2982    2909  0 16:15 ?        00:00:00 /snap/snapd-des
tan         3004    2225  3 16:15 ?        00:05:51 /snap/firefox/5
tan         3177    3004  0 16:15 ?        00:00:00 /snap/firefox/5
tan         3191    3004  0 16:15 ?        00:00:06 /snap/firefox/5
tan         3197    3004  0 16:15 ?        00:00:02 /snap/firefox/5
tan         3245    1973  0 16:15 ?        00:00:00 /usr/bin/snap u
tan         3544    3004  0 16:15 ?        00:00:01 /snap/firefox/5
tan         3746    3004  0 16:15 ?        00:00:01 /snap/firefox/5
tan         3754    3004  0 16:15 ?        00:00:26 /snap/firefox/5
tan         3999    2181  0 16:16 ?        00:00:00 /usr/bin/update
root        4315       1  0 16:20 ?        00:00:01 /usr/libexec/fw
tan         4648    3004  0 16:20 ?        00:01:00 /snap/firefox/5
tan         4754    3004  0 16:20 ?        00:01:08 /snap/firefox/5
tan         5350    1998  0 16:37 ?        00:00:00 /usr/bin/ssh-ag
root        5628       2  0 16:50 ?        00:00:00 [kworker/u33:2]
tan         5839    3004  0 16:54 ?        00:00:46 /snap/firefox/5
root        6274       2  0 17:02 ?        00:00:00 [kworker/4:1-ev
root        7848       2  0 17:18 ?        00:00:00 [psimon]
root        7854       1  0 17:18 ?        00:00:00 sshd: /usr/sbin
root        8032       2  0 17:19 ?        00:00:00 [kworker/R-tls-
tan         8093    1973  0 17:22 ?        00:00:38 /usr/bin/nautil
tan         8132    2169  0 17:22 ?        00:00:00 /usr/libexec/gv
tan         8351    3004  0 17:29 ?        00:00:14 /snap/firefox/5
tan         8638    1973  0 17:36 ?        00:00:00 /usr/bin/python
tan         8641    8638  0 17:36 ?        00:00:00 /usr/bin/gnome-
tan         8647    1973  0 17:36 ?        00:00:49 /usr/libexec/gn
tan         8654    8647  0 17:36 pts/0    00:00:00 bash
root        8771       2  0 17:40 ?        00:00:00 [kworker/0:1-rc
tan         8992    3004  0 17:46 ?        00:00:00 /snap/firefox/5
root        9041       2  0 17:47 ?        00:00:16 [kworker/u32:2-
tan         9070    3004  0 17:47 ?        00:00:00 /snap/firefox/5
root        9130       2  0 17:48 ?        00:00:00 [kworker/5:1-ev
tan         9253    3004  0 17:54 ?        00:00:00 /snap/firefox/5
root        9392       2  0 18:00 ?        00:00:00 [kworker/7:0-cg
root        9689       2  0 18:10 ?        00:00:00 [kworker/5:2-cg
root        9933       2  0 18:22 ?        00:00:00 [kworker/3:1-ev
root        9974       2  0 18:26 ?        00:00:00 [kworker/2:2-ev
root       10037       2  0 18:30 ?        00:00:00 [kworker/3:0-ev
root       10122       2  0 18:32 ?        00:00:00 [kworker/1:1-mm
root       10263       2  0 18:38 ?        00:00:02 [kworker/u32:1-
tan        10392    2225  0 18:48 ?        00:00:00 gjs /usr/share/
root       10494       2  0 18:49 ?        00:00:00 [kworker/2:1-ev
root       10560       2  0 18:50 ?        00:00:00 [kworker/4:3-ev
root       10705       2  0 18:53 ?        00:00:00 [kworker/6:0-mm
root       10825       2  0 18:57 ?        00:00:00 [kworker/0:0-ev
root       10853       2  0 19:00 ?        00:00:00 [kworker/6:1-ev
root       10868       2  0 19:00 ?        00:00:00 [kworker/1:3]
root       10873       2  0 19:00 ?        00:00:00 [kworker/u32:0-
tan        10897    1973  0 19:01 ?        00:00:00 /usr/bin/python
tan        10900   10897  0 19:01 ?        00:00:00 /usr/bin/gnome-
